timestep_4,region_4,technology_3,parameter,value
hh0006,85NO,heatpumpAirSpace,effConv,3.498938616
hh0007,85NO,heatpumpAirSpace,effConv,3.658100518
hh0008,85NO,heatpumpAirSpace,effConv,3.874220385
hh0009,85NO,heatpumpAirSpace,effConv,4.046387673
hh0010,85NO,heatpumpAirSpace,effConv,4.06
hh0011,85NO,heatpumpAirSpace,effConv,4.06
hh0012,85NO,heatpumpAirSpace,effConv,4.06
hh0013,85NO,heatpumpAirSpace,effConv,4.06
hh0014,85NO,heatpumpAirSpace,effConv,4.06
hh0015,85NO,heatpumpAirSpace,effConv,4.06
hh0016,85NO,heatpumpAirSpace,effConv,4.06
hh0017,85NO,heatpumpAirSpace,effConv,4.029406867
hh0018,85NO,heatpumpAirSpace,effConv,4.008256869
hh0019,85NO,heatpumpAirSpace,effConv,3.835534634
hh0020,85NO,heatpumpAirSpace,effConv,3.743762371
hh0021,85NO,heatpumpAirSpace,effConv,3.453525056
hh0022,85NO,heatpumpAirSpace,effConv,3.557619678
hh0023,85NO,heatpumpAirSpace,effConv,2.45
hh0024,85NO,heatpumpAirSpace,effConv,3.164584323
hh0001,74FI,heatpumpAirSpace,effConv,2.854470115
hh0002,74FI,heatpumpAirSpace,effConv,3.534841849
hh0003,74FI,heatpumpAirSpace,effConv,3.451613652
hh0004,74FI,heatpumpAirSpace,effConv,3.649714008
hh0005,74FI,heatpumpAirSpace,effConv,3.738438379
hh0006,74FI,heatpumpAirSpace,effConv,3.498938616
hh0007,74FI,heatpumpAirSpace,effConv,3.658100518
hh0008,74FI,heatpumpAirSpace,effConv,3.874220385
hh0009,74FI,heatpumpAirSpace,effConv,4.046387673
hh0010,74FI,heatpumpAirSpace,effConv,4.06
hh0011,74FI,heatpumpAirSpace,effConv,4.06
hh0012,74FI,heatpumpAirSpace,effConv,4.06
hh0013,74FI,heatpumpAirSpace,effConv,4.06
hh0014,74FI,heatpumpAirSpace,effConv,4.06
hh0015,74FI,heatpumpAirSpace,effConv,4.06
hh0016,74FI,heatpumpAirSpace,effConv,4.06
hh0017,74FI,heatpumpAirSpace,effConv,4.029406867
hh0018,74FI,heatpumpAirSpace,effConv,4.008256869
hh0019,74FI,heatpumpAirSpace,effConv,3.835534634
hh0020,74FI,heatpumpAirSpace,effConv,3.743762371
hh0021,74FI,heatpumpAirSpace,effConv,3.453525056
hh0022,74FI,heatpumpAirSpace,effConv,3.557619678
hh0023,74FI,heatpumpAirSpace,effConv,2.45
hh0024,74FI,heatpumpAirSpace,effConv,3.164584323
hh0001,75FI,heatpumpAirSpace,effConv,2.854470115
hh0002,75FI,heatpumpAirSpace,effConv,3.534841849
hh0003,75FI,heatpumpAirSpace,effConv,3.451613652
hh0004,75FI,heatpumpAirSpace,effConv,3.649714008
hh0005,75FI,heatpumpAirSpace,effConv,3.738438379
hh0006,75FI,heatpumpAirSpace,effConv,3.498938616
