technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
woodBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.396059714,CarbonCaptureCalculation
woodBoilerProMedCC,2040,,,lifeConv,17,CarbonCaptureCalculation
woodBoilerProMedCC,,,,effConv,0.88623,CarbonCaptureCalculation
woodBoilerProMedCC,,,,costExpConv,1714,CarbonCaptureCalculation
woodBoilerProMedCC,2040,,,costOprConv,49.1,CarbonCaptureCalculation
woodBoilerProMedCC,,,,avaConv,0.9,CarbonCaptureCalculation
woodBoilerProMedCC,,biomass,wood,emissionFac,-351,CarbonCaptureCalculation
woodBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.396059714,CarbonCaptureCalculation
woodBoilerProLowCC,2040,,,lifeConv,17,CarbonCaptureCalculation
woodBoilerProLowCC,,,,effConv,0.88623,CarbonCaptureCalculation
woodBoilerProLowCC,,,,costExpConv,1714,CarbonCaptureCalculation
woodBoilerProLowCC,2040,,,costOprConv,49.1,CarbonCaptureCalculation
woodBoilerProLowCC,,,,avaConv,0.9,CarbonCaptureCalculation
woodBoilerProLowCC,,biomass,wood,emissionFac,-351,CarbonCaptureCalculation
woodBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.396059714,CarbonCaptureCalculation
woodBoilerProHighCC,2040,,,lifeConv,17,CarbonCaptureCalculation
woodBoilerProHighCC,,,,effConv,0.88623,CarbonCaptureCalculation
woodBoilerProHighCC,,,,costExpConv,1714,CarbonCaptureCalculation
woodBoilerProHighCC,2040,,,costOprConv,49.1,CarbonCaptureCalculation
woodBoilerProHighCC,,,,avaConv,0.9,CarbonCaptureCalculation
woodBoilerProHighCC,,biomass,wood,emissionFac,-351,CarbonCaptureCalculation
wasteBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.291516573,CarbonCaptureCalculation
wasteBoilerProMedCC,2040,,,lifeConv,15,CarbonCaptureCalculation
wasteBoilerProMedCC,,,,effConv,1.01881,CarbonCaptureCalculation
wasteBoilerProMedCC,,,,costExpConv,1468,CarbonCaptureCalculation
wasteBoilerProMedCC,2040,,,costOprConv,41.9,CarbonCaptureCalculation
wasteBoilerProMedCC,,,,avaConv,0.9,CarbonCaptureCalculation
wasteBoilerProMedCC,,biomass,waste,emissionFac,-297,CarbonCaptureCalculation
wasteBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.291516573,CarbonCaptureCalculation
wasteBoilerProLowCC,2040,,,lifeConv,15,CarbonCaptureCalculation
wasteBoilerProLowCC,,,,effConv,1.01881,CarbonCaptureCalculation
wasteBoilerProLowCC,,,,costExpConv,1468,CarbonCaptureCalculation
wasteBoilerProLowCC,2040,,,costOprConv,41.9,CarbonCaptureCalculation
wasteBoilerProLowCC,,,,avaConv,0.9,CarbonCaptureCalculation
wasteBoilerProLowCC,,biomass,waste,emissionFac,-297,CarbonCaptureCalculation
wasteBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.291516573,CarbonCaptureCalculation
wasteBoilerProHighCC,2040,,,lifeConv,15,CarbonCaptureCalculation
wasteBoilerProHighCC,,,,effConv,1.01881,CarbonCaptureCalculation
wasteBoilerProHighCC,,,,costExpConv,1468,CarbonCaptureCalculation
wasteBoilerProHighCC,2040,,,costOprConv,41.9,CarbonCaptureCalculation
wasteBoilerProHighCC,,,,avaConv,0.9,CarbonCaptureCalculation
wasteBoilerProHighCC,,biomass,waste,emissionFac,-297,CarbonCaptureCalculation
oilBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.244616693,CarbonCaptureCalculation
oilBoilerProMedCC,2040,,,lifeConv,25,CarbonCaptureCalculation
oilBoilerProMedCC,,,,effConv,0.969181607,CarbonCaptureCalculation
oilBoilerProMedCC,,,,costExpConv,1122.838,CarbonCaptureCalculation
oilBoilerProMedCC,2040,,,costOprConv,33.1464,CarbonCaptureCalculation
oilBoilerProMedCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
oilBoilerProMedCC,,refinedOil,,emissionFac,26.342,CarbonCaptureCalculation
oilBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.242118518,CarbonCaptureCalculation
oilBoilerProLowCC,2040,,,lifeConv,25,CarbonCaptureCalculation
oilBoilerProLowCC,,,,effConv,0.979181607,CarbonCaptureCalculation
oilBoilerProLowCC,,,,costExpConv,1122.838,CarbonCaptureCalculation
oilBoilerProLowCC,2040,,,costOprConv,33.1464,CarbonCaptureCalculation
oilBoilerProLowCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
oilBoilerProLowCC,,refinedOil,,emissionFac,26.342,CarbonCaptureCalculation
oilBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.266975238,CarbonCaptureCalculation
oilBoilerProHighCC,2040,,,lifeConv,17,CarbonCaptureCalculation
oilBoilerProHighCC,,,,effConv,0.88801494,CarbonCaptureCalculation
oilBoilerProHighCC,,,,costExpConv,1134.922,CarbonCaptureCalculation
oilBoilerProHighCC,2040,,,costOprConv,32.8104,CarbonCaptureCalculation
