region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
18FR,pumpedStorage,capaStOutResi,0.06426623,capaStInResi,0.06426623,capaStSizeResi,1.691216584
19FR,pumpedStorage,capaStOutResi,0.743553374,capaStInResi,0.743553374,capaStSizeResi,19.56719403
20FR,pumpedStorage,capaStOutResi,1.3488998,capaStInResi,1.3488998,capaStSizeResi,35.49736316
21FR,pumpedStorage,capaStOutResi,0.034551736,capaStInResi,0.034551736,capaStSizeResi,0.909256229
22FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
23FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
24FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
25FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
26FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
27FR,pumpedStorage,capaStOutResi,0.15617385,capaStInResi,0.15617385,capaStSizeResi,4.109838152
28BE,pumpedStorage,capaStOutResi,1.224,capaStInResi,1.15,capaStSizeResi,5.3
29LU,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
30NL,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
31DE,pumpedStorage,capaStOutResi,0.576223542,capaStInResi,0.560445568,capaStSizeResi,42.06182741
32DE,pumpedStorage,capaStOutResi,0.01233506,capaStInResi,0.011997306,capaStSizeResi,0.900406092
33DE,pumpedStorage,capaStOutResi,0.814995071,capaStInResi,0.792679129,capaStSizeResi,59.49111676
34DE,pumpedStorage,capaStOutResi,3.132224297,capaStInResi,3.046458708,capaStSizeResi,228.6388324
35DE,pumpedStorage,capaStOutResi,0.766535903,capaStInResi,0.745546857,capaStSizeResi,55.95380711
36DE,pumpedStorage,capaStOutResi,3.05292748,capaStInResi,2.969333171,capaStSizeResi,222.8505076
37DE,pumpedStorage,capaStOutResi,0.670498647,capaStInResi,0.652139262,capaStSizeResi,48.94350254
38DK,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
39CZ,pumpedStorage,capaStOutResi,0.795232926,capaStInResi,0.756482096,capaStSizeResi,4.118777293
40CZ,pumpedStorage,capaStOutResi,0.363217074,capaStInResi,0.345517904,capaStSizeResi,1.881222707
41PL,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
42PL,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
43PL,pumpedStorage,capaStOutResi,0.589013403,capaStInResi,0.63440925,capaStSizeResi,2.999860384
44PL,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
45PL,pumpedStorage,capaStOutResi,0.950346597,capaStInResi,1.02359075,capaStSizeResi,4.840139616
46SK,pumpedStorage,capaStOutResi,0.92606,capaStInResi,0.82814,capaStSizeResi,49.65
47CH,pumpedStorage,capaStOutResi,1.520274918,capaStInResi,0.475868194,capaStSizeResi,1067.514133
48CH,pumpedStorage,capaStOutResi,11.11172508,capaStInResi,3.478131806,capaStSizeResi,7802.485867
49AT,pumpedStorage,capaStOutResi,4.537498177,capaStInResi,3.938321632,capaStSizeResi,1240.676646
50AT,pumpedStorage,capaStOutResi,1.1668451,capaStInResi,1.012763227,capaStSizeResi,319.0475029
51AT,pumpedStorage,capaStOutResi,0.638936724,capaStInResi,0.554565142,capaStSizeResi,174.7028517
52IT,pumpedStorage,capaStOutResi,5.017,capaStInResi,4.208,capaStSizeResi,225.3
53IT,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
54IT,pumpedStorage,capaStOutResi,2.947,capaStInResi,2.518,capaStSizeResi,108.89
55IT,pumpedStorage,capaStOutResi,1.25,capaStInResi,1.25,capaStSizeResi,10
56IT,pumpedStorage,capaStOutResi,1.18,capaStInResi,1.245,capaStSizeResi,27.79
57SI,pumpedStorage,capaStOutResi,0.18,capaStInResi,0.185,capaStSizeResi,2.596
58HU,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
59RO,pumpedStorage,capaStOutResi,0.379596511,capaStInResi,0.046479691,capaStSizeResi,681.7624742
60RO,pumpedStorage,capaStOutResi,0.351061922,capaStInResi,0.042985773,capaStSizeResi,630.5138144
61RO,pumpedStorage,capaStOutResi,0.108085567,capaStInResi,0.013234536,capaStSizeResi,194.1237113
62HR,pumpedStorage,capaStOutResi,0.2814,capaStInResi,0.2469,capaStSizeResi,18.3
63BA,pumpedStorage,capaStOutResi,0.44,capaStInResi,0.44,capaStSizeResi,3.4
64ME,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
65RS,pumpedStorage,capaStOutResi,0.814,capaStInResi,0.76,capaStSizeResi,254
66BG,pumpedStorage,capaStOutResi,1.399,capaStInResi,0.932,capaStSizeResi,264.7
67MK,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
68GR,pumpedStorage,capaStOutResi,1.379,capaStInResi,1.445,capaStSizeResi,4.5
69GR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
70AL,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
72DK,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
73EE,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
74FI,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
75FI,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
77LT,pumpedStorage,capaStOutResi,0.93,capaStInResi,0.9,capaStSizeResi,10.6
78LV,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
79NO,pumpedStorage,capaStOutResi,7.94440553,capaStInResi,0.318252535,capaStSizeResi,18120.37051
80NO,pumpedStorage,capaStOutResi,5.403364055,capaStInResi,0.216458525,capaStSizeResi,12324.51671
81NO,pumpedStorage,capaStOutResi,8.148857143,capaStInResi,0.326442857,capaStSizeResi,18586.70357
82NO,pumpedStorage,capaStOutResi,3.855373272,capaStInResi,0.154446083,capaStSizeResi,8793.709217
83NO,pumpedStorage,capaStOutResi,6.003,capaStInResi,0.0758,capaStSizeResi,8659.7
84NO,pumpedStorage,capaStOutResi,6.238537037,capaStInResi,0.001864198,capaStSizeResi,21524.39753
85NO,pumpedStorage,capaStOutResi,0.454462963,capaStInResi,0.000135802,capaStSizeResi,1568.002469
86SE,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
87SE,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
88SE,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
89SE,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
90UK,pumpedStorage,capaStOutResi,0.016077964,capaStInResi,0.014608414,capaStSizeResi,0.143580465
91UK,pumpedStorage,capaStOutResi,0.00043454,capaStInResi,0.000394822,capaStSizeResi,0.003880553
92UK,pumpedStorage,capaStOutResi,1.583896734,capaStInResi,1.439126214,capaStSizeResi,14.14461606
93UK,pumpedStorage,capaStOutResi,0.089515152,capaStInResi,0.081333333,capaStSizeResi,0.799393939
94UK,pumpedStorage,capaStOutResi,1.26407561,capaStInResi,1.148537217,capaStSizeResi,11.28852898
95UK,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
96IE,pumpedStorage,capaStOutResi,0.292,capaStInResi,0.292,capaStSizeResi,1.72
98IT,pumpedStorage,capaStOutResi,0.24,capaStInResi,0.242,capaStSizeResi,7.8
99FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
